Title,Company,Location,Employment Type,Seniority Level,Industry,Job Functions,Description
Data Analyst / Engineer,Microsoft,"Vancouver, BC",Full-time,,Computer Hardware Computer Software Information Technology & Services,Information Technology,"The Data Analyst/Engineer works with a cross-disciplinary teams of engineers, designers and project managers and leverages BigPark product telemetry data augmented by additional internal data streams to help improve product performance, understand product value and drive new product features.

Bigpark is part of the Office Media Group inside the Experiences + Devices division. We have a history of creating showcase experiences for Xbox, Windows, and Microsoft Office. We are a diverse team of developers, creatives, data scientists and program managers delivering a full spectrum of software and services from incubation and envisioning right through to software development, customer delivery and service operations.

There are multiple learning opportunities for someone interested in data, with a strong data team at Bigpark across data engineering and data science disciplines, three hack events a year, and biannual data conferences.

Come help us realize our dream of delivering the highest quality and most impactful experiences to our customers. We learn from users through directed research and product usage data with the goal of delivering software and services that enable customers to be more productive and achieve more with media.

Responsibilities

The Data Analyst will work alongside data engineers to obtain data, monitor data quality, and perform ETL for dashboarding and analysis. The job uses product telemetry data to provide data-driven insights, as well as defines the key telemetry to measure future outcomes against.

The Data Analyst is responsible for working with stakeholders to turn business problems into data analysis questions, and then unearthing deep insights through analysis of data. This includes selecting the appropriate methodology through which to conduct data analysis and apply statistical methods to generate accurate and actionable insights and visualizations.

Qualifications

Required Qualifications

Degree in Statistics/Math/Computer Science/Business or related field

2+ years working as a Data Scientist or Data Analyst

1+ years working with databases and SQL

Experience with data visualization or dashboarding

Nice To Have Qualifications

Familiarity with PowerBI is a plus

Experience with large scale computing systems like Azure, COSMOS, Spark, and/or similar systems is a plus

Experience with SQL database systems like Azure Data Explorer, T-SQL, KQL or Azure Data Lake a plus

Experience with C# is a plus

Experience debugging telemetry with tools such as Fiddler or browser developer tools is a plus

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
"
Data Analyst,Starcom,"Toronto, ON",Full-time,Associate,Marketing & Advertising,Advertising,"Looking for a one-of-a-kind role that combines both research and data science skills to drive growth for brands? Look no further.

As a Data Analyst on the Publicis Data Science team, you will be responsible for delivering marketing insights to help drive the strategic planning process, evolve measurement, and optimize the media mix to improve return on investment. You will be leveraging digital platforms to transform vast data sets into actionable insights that inform targeting and optimization; specifically, connecting or extracting data, tracking, measuring, and analyzing and optimizing digital media for improved conversion and business performance.

You will be part of a dynamic and growing team, reporting to the Data Science lead and will have the opportunity to learn and thrive in the emerging field of data strategy while learning the ins and outs of the media effectiveness field.

The successful candidate will have superior technical skills and attention to detail but must also be able to solve business issues using data, creativity, and human insight. Working collaboratively and building relationships with various key stakeholders, within both Publicis and the broader industry, is a key part of this role.

Responsibilities will include:

Work hand in hand with client strategy and planning teams to become a subject matter expert on specific Publicis client’s and corresponding lines of business; translating marketing and campaign objectives into digital media measurement plans
Liaise with the planning team to help design digital strategy, and in turn optimize and analyze media performance which in turn inform media strategy and strategic decision making
Provide the Planning and Buying teams with analysis, insights and data-informed recommendations from the aforementioned reporting areas
Learn to ingest, analyze, and QA disparate digital data sources across Paid, Owned and Earned Digital Media into a consolidated environment for tracking and glean meaningful insights from the platform
Act as the primary go-to-person for any analytics requests from the clients, and create and present reporting documentation on behalf of clients distilling highly technical concepts into easily understandable business terms
 Learn how to set up automated process for data extraction, via API, SFTP, SQL, and more
Extract, transform and load data for ingestion into business intelligence platforms
Learn how to navigate, edit, and manipulate data within data visualization and business intelligence platforms
Build and deploy semi-automated Excel and PowerPoint digital reporting solutions such as campaign performance tracking
Opportunity to work across key business intelligence platforms for digital media, mainly Datorama
Essential Qualifications:

Experience in navigating and using the Google Suite (CM, DV360, GA, AdWords), Facebook Business Manager, and other media activation platforms as required
Experienced with media planning terminology and principles
Experience in understanding and analyzing Data Driven Attribution models
Excellent organizational, interpersonal, and time management skills
Ability to work independently and proactively
Strong Microsoft Office skills, particularly Excel and PowerPoint
Solid presentation and training skills, with experience presenting to senior leaders
Enthusiastic, proactive, flexible and can adjust deadlines without sacrificing quality
Secondary Qualifications:

Familiarity in using data visualization platforms inclusive but not limited to Datorama, Tableau, and Google Data Studio
Working with research data sets and syndicated data sources such as ComScore, Nielsen, Numeris, Vividata and others and conducting ad hoc market research as required
Beginner level experience in coding platforms, such as VBA, SQL, C++, Python, Javascript, and R Coding
Knowledge of statistical concepts
Fluency in French not mandatory but considered ideal

Qualifications

3+ years of digital media reporting experience (for example executing and reporting on display and video buying, social buying, search buying, etc.)    
OR  2+ Years Data Experience (Preferably at an Agency, Client, or Media Owner) managing MarTech platforms (DMPs, CDPs, Data Lakes, CRM Platforms, etc.)
Bilingual (English and French) Preferred 
University or College degree (Preferably in Advertising, Marketing, or Data Science)
Technically competent and capable of working with and learning new digital and tech platforms
Strong numerical and analytical skills
Demonstrated ability to convert data analysis into meaningful action for brands
Experience with or strong knowledge of ad servers and web analytics platforms
Effective written and verbal communication skills
Ability to cope under pressure and deliver to tight deadlines autonomousl

Additional Information

Publicis Media is an equal opportunity employer and we welcome and encourage applications from all interested parties. Accommodations are available, upon request, for all stages of the interview and employment process for those with a disability or medical need during any stage of the recruitment process.  We thank all candidates for their interest in Publicis Media, however, only those candidates selected for an interview will be contacted.

 

"
Data Analyst,Starcom,"Toronto, ON",Full-time,Associate,Marketing & Advertising,Advertising,"Looking for a one-of-a-kind role that combines both research and data science skills to drive growth for brands? Look no further.

As a Data Analyst on the Publicis Data Science team, you will be responsible for delivering marketing insights to help drive the strategic planning process, evolve measurement, and optimize the media mix to improve return on investment. You will be leveraging digital platforms to transform vast data sets into actionable insights that inform targeting and optimization; specifically, connecting or extracting data, tracking, measuring, and analyzing and optimizing digital media for improved conversion and business performance.

You will be part of a dynamic and growing team, reporting to the Data Science lead and will have the opportunity to learn and thrive in the emerging field of data strategy while learning the ins and outs of the media effectiveness field.

The successful candidate will have superior technical skills and attention to detail but must also be able to solve business issues using data, creativity, and human insight. Working collaboratively and building relationships with various key stakeholders, within both Publicis and the broader industry, is a key part of this role.

Responsibilities will include:

Work hand in hand with client strategy and planning teams to become a subject matter expert on specific Publicis client’s and corresponding lines of business; translating marketing and campaign objectives into digital media measurement plans
Liaise with the planning team to help design digital strategy, and in turn optimize and analyze media performance which in turn inform media strategy and strategic decision making
Provide the Planning and Buying teams with analysis, insights and data-informed recommendations from the aforementioned reporting areas
Learn to ingest, analyze, and QA disparate digital data sources across Paid, Owned and Earned Digital Media into a consolidated environment for tracking and glean meaningful insights from the platform
Act as the primary go-to-person for any analytics requests from the clients, and create and present reporting documentation on behalf of clients distilling highly technical concepts into easily understandable business terms
 Learn how to set up automated process for data extraction, via API, SFTP, SQL, and more
Extract, transform and load data for ingestion into business intelligence platforms
Learn how to navigate, edit, and manipulate data within data visualization and business intelligence platforms
Build and deploy semi-automated Excel and PowerPoint digital reporting solutions such as campaign performance tracking
Opportunity to work across key business intelligence platforms for digital media, mainly Datorama
Essential Qualifications:

Experience in navigating and using the Google Suite (CM, DV360, GA, AdWords), Facebook Business Manager, and other media activation platforms as required
Experienced with media planning terminology and principles
Experience in understanding and analyzing Data Driven Attribution models
Excellent organizational, interpersonal, and time management skills
Ability to work independently and proactively
Strong Microsoft Office skills, particularly Excel and PowerPoint
Solid presentation and training skills, with experience presenting to senior leaders
Enthusiastic, proactive, flexible and can adjust deadlines without sacrificing quality
Secondary Qualifications:

Familiarity in using data visualization platforms inclusive but not limited to Datorama, Tableau, and Google Data Studio
Working with research data sets and syndicated data sources such as ComScore, Nielsen, Numeris, Vividata and others and conducting ad hoc market research as required
Beginner level experience in coding platforms, such as VBA, SQL, C++, Python, Javascript, and R Coding
Knowledge of statistical concepts
Fluency in French not mandatory but considered ideal

Qualifications

3+ years of digital media reporting experience (for example executing and reporting on display and video buying, social buying, search buying, etc.)    
OR  2+ Years Data Experience (Preferably at an Agency, Client, or Media Owner) managing MarTech platforms (DMPs, CDPs, Data Lakes, CRM Platforms, etc.)
Bilingual (English and French) Preferred 
University or College degree (Preferably in Advertising, Marketing, or Data Science)
Technically competent and capable of working with and learning new digital and tech platforms
Strong numerical and analytical skills
Demonstrated ability to convert data analysis into meaningful action for brands
Experience with or strong knowledge of ad servers and web analytics platforms
Effective written and verbal communication skills
Ability to cope under pressure and deliver to tight deadlines autonomousl

Additional Information

Publicis Media is an equal opportunity employer and we welcome and encourage applications from all interested parties. Accommodations are available, upon request, for all stages of the interview and employment process for those with a disability or medical need during any stage of the recruitment process.  We thank all candidates for their interest in Publicis Media, however, only those candidates selected for an interview will be contacted.

 

"
Data Analyst,Starcom,"Toronto, ON",Full-time,Associate,Marketing & Advertising,Advertising,"Looking for a one-of-a-kind role that combines both research and data science skills to drive growth for brands? Look no further.

As a Data Analyst on the Publicis Data Science team, you will be responsible for delivering marketing insights to help drive the strategic planning process, evolve measurement, and optimize the media mix to improve return on investment. You will be leveraging digital platforms to transform vast data sets into actionable insights that inform targeting and optimization; specifically, connecting or extracting data, tracking, measuring, and analyzing and optimizing digital media for improved conversion and business performance.

You will be part of a dynamic and growing team, reporting to the Data Science lead and will have the opportunity to learn and thrive in the emerging field of data strategy while learning the ins and outs of the media effectiveness field.

The successful candidate will have superior technical skills and attention to detail but must also be able to solve business issues using data, creativity, and human insight. Working collaboratively and building relationships with various key stakeholders, within both Publicis and the broader industry, is a key part of this role.

Responsibilities will include:

Work hand in hand with client strategy and planning teams to become a subject matter expert on specific Publicis client’s and corresponding lines of business; translating marketing and campaign objectives into digital media measurement plans
Liaise with the planning team to help design digital strategy, and in turn optimize and analyze media performance which in turn inform media strategy and strategic decision making
Provide the Planning and Buying teams with analysis, insights and data-informed recommendations from the aforementioned reporting areas
Learn to ingest, analyze, and QA disparate digital data sources across Paid, Owned and Earned Digital Media into a consolidated environment for tracking and glean meaningful insights from the platform
Act as the primary go-to-person for any analytics requests from the clients, and create and present reporting documentation on behalf of clients distilling highly technical concepts into easily understandable business terms
 Learn how to set up automated process for data extraction, via API, SFTP, SQL, and more
Extract, transform and load data for ingestion into business intelligence platforms
Learn how to navigate, edit, and manipulate data within data visualization and business intelligence platforms
Build and deploy semi-automated Excel and PowerPoint digital reporting solutions such as campaign performance tracking
Opportunity to work across key business intelligence platforms for digital media, mainly Datorama
Essential Qualifications:

Experience in navigating and using the Google Suite (CM, DV360, GA, AdWords), Facebook Business Manager, and other media activation platforms as required
Experienced with media planning terminology and principles
Experience in understanding and analyzing Data Driven Attribution models
Excellent organizational, interpersonal, and time management skills
Ability to work independently and proactively
Strong Microsoft Office skills, particularly Excel and PowerPoint
Solid presentation and training skills, with experience presenting to senior leaders
Enthusiastic, proactive, flexible and can adjust deadlines without sacrificing quality
Secondary Qualifications:

Familiarity in using data visualization platforms inclusive but not limited to Datorama, Tableau, and Google Data Studio
Working with research data sets and syndicated data sources such as ComScore, Nielsen, Numeris, Vividata and others and conducting ad hoc market research as required
Beginner level experience in coding platforms, such as VBA, SQL, C++, Python, Javascript, and R Coding
Knowledge of statistical concepts
Fluency in French not mandatory but considered ideal

Qualifications

3+ years of digital media reporting experience (for example executing and reporting on display and video buying, social buying, search buying, etc.)    
OR  2+ Years Data Experience (Preferably at an Agency, Client, or Media Owner) managing MarTech platforms (DMPs, CDPs, Data Lakes, CRM Platforms, etc.)
Bilingual (English and French) Preferred 
University or College degree (Preferably in Advertising, Marketing, or Data Science)
Technically competent and capable of working with and learning new digital and tech platforms
Strong numerical and analytical skills
Demonstrated ability to convert data analysis into meaningful action for brands
Experience with or strong knowledge of ad servers and web analytics platforms
Effective written and verbal communication skills
Ability to cope under pressure and deliver to tight deadlines autonomousl

Additional Information

Publicis Media is an equal opportunity employer and we welcome and encourage applications from all interested parties. Accommodations are available, upon request, for all stages of the interview and employment process for those with a disability or medical need during any stage of the recruitment process.  We thank all candidates for their interest in Publicis Media, however, only those candidates selected for an interview will be contacted.

 

"
Data Analyst,Starcom,"Toronto, ON",Full-time,Associate,Marketing & Advertising,Advertising,"Looking for a one-of-a-kind role that combines both research and data science skills to drive growth for brands? Look no further.

As a Data Analyst on the Publicis Data Science team, you will be responsible for delivering marketing insights to help drive the strategic planning process, evolve measurement, and optimize the media mix to improve return on investment. You will be leveraging digital platforms to transform vast data sets into actionable insights that inform targeting and optimization; specifically, connecting or extracting data, tracking, measuring, and analyzing and optimizing digital media for improved conversion and business performance.

You will be part of a dynamic and growing team, reporting to the Data Science lead and will have the opportunity to learn and thrive in the emerging field of data strategy while learning the ins and outs of the media effectiveness field.

The successful candidate will have superior technical skills and attention to detail but must also be able to solve business issues using data, creativity, and human insight. Working collaboratively and building relationships with various key stakeholders, within both Publicis and the broader industry, is a key part of this role.

Responsibilities will include:

Work hand in hand with client strategy and planning teams to become a subject matter expert on specific Publicis client’s and corresponding lines of business; translating marketing and campaign objectives into digital media measurement plans
Liaise with the planning team to help design digital strategy, and in turn optimize and analyze media performance which in turn inform media strategy and strategic decision making
Provide the Planning and Buying teams with analysis, insights and data-informed recommendations from the aforementioned reporting areas
Learn to ingest, analyze, and QA disparate digital data sources across Paid, Owned and Earned Digital Media into a consolidated environment for tracking and glean meaningful insights from the platform
Act as the primary go-to-person for any analytics requests from the clients, and create and present reporting documentation on behalf of clients distilling highly technical concepts into easily understandable business terms
 Learn how to set up automated process for data extraction, via API, SFTP, SQL, and more
Extract, transform and load data for ingestion into business intelligence platforms
Learn how to navigate, edit, and manipulate data within data visualization and business intelligence platforms
Build and deploy semi-automated Excel and PowerPoint digital reporting solutions such as campaign performance tracking
Opportunity to work across key business intelligence platforms for digital media, mainly Datorama
Essential Qualifications:

Experience in navigating and using the Google Suite (CM, DV360, GA, AdWords), Facebook Business Manager, and other media activation platforms as required
Experienced with media planning terminology and principles
Experience in understanding and analyzing Data Driven Attribution models
Excellent organizational, interpersonal, and time management skills
Ability to work independently and proactively
Strong Microsoft Office skills, particularly Excel and PowerPoint
Solid presentation and training skills, with experience presenting to senior leaders
Enthusiastic, proactive, flexible and can adjust deadlines without sacrificing quality
Secondary Qualifications:

Familiarity in using data visualization platforms inclusive but not limited to Datorama, Tableau, and Google Data Studio
Working with research data sets and syndicated data sources such as ComScore, Nielsen, Numeris, Vividata and others and conducting ad hoc market research as required
Beginner level experience in coding platforms, such as VBA, SQL, C++, Python, Javascript, and R Coding
Knowledge of statistical concepts
Fluency in French not mandatory but considered ideal

Qualifications

3+ years of digital media reporting experience (for example executing and reporting on display and video buying, social buying, search buying, etc.)    
OR  2+ Years Data Experience (Preferably at an Agency, Client, or Media Owner) managing MarTech platforms (DMPs, CDPs, Data Lakes, CRM Platforms, etc.)
Bilingual (English and French) Preferred 
University or College degree (Preferably in Advertising, Marketing, or Data Science)
Technically competent and capable of working with and learning new digital and tech platforms
Strong numerical and analytical skills
Demonstrated ability to convert data analysis into meaningful action for brands
Experience with or strong knowledge of ad servers and web analytics platforms
Effective written and verbal communication skills
Ability to cope under pressure and deliver to tight deadlines autonomousl

Additional Information

Publicis Media is an equal opportunity employer and we welcome and encourage applications from all interested parties. Accommodations are available, upon request, for all stages of the interview and employment process for those with a disability or medical need during any stage of the recruitment process.  We thank all candidates for their interest in Publicis Media, however, only those candidates selected for an interview will be contacted.

 

"
"Data Analyst (Bangkok Based, relocation provided)",Agoda,"Toronto, ON",Full-time,Associate,Internet,Information Technology,"About Agoda

Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.

Get to Know our Team:

The Performance Marketing Team of Agoda is a world leader in online marketing. This department is highly data-driven and focused on developing at-scale marketing programs that improve the lifetime value of Agoda customers through measurable marketing programs and channels. The team is a blend of the best analysts, marketing strategists, and data scientists in the world. The marketing leadership at Agoda have deep experience in data science, product, strategy, and other marketing fields and have built an organization that thrives on data, creative ideas, and technology. The Performance Marketing Team also fosters a great learning environment. You will be able to learn and grow by working closely with experts from a variety of backgrounds from all over the world.

In this Role, you’ll get to:
Search: Experiment with text ads, bidding, and campaign structures on Google, Bing, Baidu, Naver, and other search engines. Adapt to new product features and roll out changes from successful tests.
Display: Test, analyze, and optimize campaigns on Facebook, Twitter, Instagram, and others.
Modeling: Analyze the vast amounts of data generated by experiments, develop models we can use for optimization, and build dashboards for account managers.
What you’ll Need to Succeed:
Bachelor’s Degree or higher from top university in a quantitative subject (computer science, mathematics, engineering, statistics or science)
Ability to communicate fluently in English
Good numerical reasoning skills
Proficiency in Excel
Intellectual curiosity
It’s Great if you Have:
Exposure to one or more data analysis packages or databases, e.g., SAS, R, SPSS, Python, VBA, SQL
Experience in digital marketing
Academic research experience
#STRA #ANLS #MRKT #3 #hongkong #singapore #hcmc #kualalumpur #mumbai #newdelhi #delhi #bangalore #hochiminh #jakarta #manila #hongkong #beijing #toronto #vancouver #berlin #paris #barcelona #london #madrid #bangkok data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.

"
Data Analyst,RBC Wealth Management,,Contract,,Banking Financial Services Investment Management,Information Technology,"What is the opportunity?

The Data Governance Office (DGO) at RBC Global Asset Management (GAM) is accountable for implementing and maintaining GAM’s Data Management Program. The DGO has authority over the governance of all information at GAM and the obligation to create and enforce standards, set rules and establish policies on data creation, integration, and consumption.

In your role as Data Analyst, you’ll be performing data driven business analysis, data maintenance and management process of complex data flows. You will also contribute to data policies development and provide consistent improvement of data quality and transparency.

Please Note: This is a contract opportunity available for approx. 15 months.

What will you do?
Maintain and enrich RBC Global Asset Management’s data warehouse working with all of RBC Global Asset Management’s investment groups. This would include security classification, analytics and reference data.
Work in conjunction with team members to ensure data standards are defined and enforced
Collaborate with internal clients to identify, document and source data
Support short to midterm project implementations
Document business and technical processes
Develop toolsets and methods to improve data quality and availability
Other duties and responsibilities as assigned
What do you need to succeed?

Must Have
Demonstrated ability to understand data relationships, aggregate information and utilize SQL or other querying languages to research data issues
1-2 years of experience in verifying security data sources using Bloomberg. Yield Book, Factset, Ratings Agencies are an asset
1-2 years exposure to operational experience with fixed income, equity and derivative securities
Ability to translate business requirements into data requirements
Nice to Have
Investment operations, compliance or back-office experience
Experience in data management
Ability to set priorities and work effectively in a fast paced, deadline oriented environment. Strong follow-through skills
Ability to be able to think creatively and use ‘out of the box’ solutions where possible.
What’s in it for you?

We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, commissions, and stock where applicable
Leaders who support your development through coaching and managing opportunities
Ability to make a difference and lasting impact
Work in a dynamic, collaborative, progressive, and high-performing team
Opportunities to do challenging work
Access to a variety of job opportunities across business and geographies
Join our Talent Community

Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com

Job Summary

City: Toronto

Address: 155 Wellington Street West

Work Hours/Week: 37.5

Work Environment: Office

Employment Type: Contract

Career Level: Experienced Hire/Professional

Pay Type: Salaried

Required

Travel (%): 0

Exempt/Non-Exempt: N/A

People Manager: No

Application Deadline: 06/14/2021

Platform: Wealth Management

Req ID: 370049
"
Data Analyst,Life House,"Toronto, ON",Full-time,Entry level,Restaurants Food & Beverages Hospitality,Information Technology,"DATA ANALYST

Our Company

The Life House Group was created to help travellers get more out of their trips by connecting our guests with each other and the local community.

We are a vertically-integrated hotel brand, developing, designing, and operating boutique lifestyle hotels. We are growing our Revenue Management and Analytics team and are looking for an ambitious and talented Data Analyst. We are fast-paced, highly collaborative, and have a friendly, flexible work environment.

The Revenue Management Team is responsible for driving property profitability through strategic, data-driven decision making to support our pricing engine. Working closely with our Business Intelligence Analyst, you will leverage analytical tools to develop actionable and insightful reporting and recommendations to the Revenue, Marketing and Asset Management teams and wider stakeholders.

Automation is at the heart of what we do, and you will be supporting the ongoing optimization of pricing and decision making throughout our portfolio of properties while building tools and products that ensure successful scalability.

Your Responsibilities
Define pricing strategy across markets, property types & customer segments
Drive analysis that will inform revenue decisions and pricing strategy
Leverage quantitative analysis and market information to inform pricing decisions
Devise & test promotion strategies to optimize pricing & revenue
Partner with corporate and group sales teams to create tools that allow them to effectively close high ROI leads
Own the analytics workstream related to property performance
Collaborate on the development of pricing & forecasting algorithms
Conduct ad-hoc reporting and analysis as needed


Requirements
Bachelors with 2 years experience or a Masters degree in a quantitative discipline such as Economics, Finance, Computer Science, Mathematics, or Statistics.
Excellent with Excel/Google Sheets.
A strong understanding of SQL & Python.
Extremely strong written & oral communication skills.
Past professional experience working on rigorous analytics projects.


NICE TO HAVE
PostgreSQL
Google Apps Script
Experience using a BI tool such as Tableau/Looker.
Deep understanding of hospitality market forces and revenue management metrics a plus.


THE IDEAL CANDIDATE
Intellectually curious & a highly motivated self-starter.
Strong logical & analytical reasoning abilities.
A passion for driving continuous improvement.
A creative problem solver who can strategize ideas into effective storytelling and communicate concisely for a wide range of stakeholders.
A continuous learner with an entrepreneurial spirit - challenges don't discourage you, they fuel you.
Excited to be part of a fast-paced and rapidly growing company.


Benefits
Competitive salary.
Medical, dental and vision insurance.
Unlimited vacation.
Discounts to stay in Life House managed hotels.
A company with a huge vision, a dynamic work environment, and a team of smart, young and extremely ambitious colleagues
Much more…


Location: Toronto, Montreal, New York, Remote (North America).

TO APPLY: Send an email to nathan@life-house.com with your resume and a few paragraphs about why you think you'd be a great fit for the role.
"
Data Analyst,Pure Sunfarms,"Delta, BC",Full-time,Entry level,Food & Beverages Food Production Consumer Goods,Information Technology,"Driven by a love of plants, Pure Sunfarms is one of Canada’s largest, single-site, licensed producers of high-quality, greenhouse-grown cannabis based in BC’s Fraser Valley (Delta). We are proud to bring together individuals from a wide breadth of industries, backgrounds, and experiences, and promote a culture of belonging where everyone can truly be themselves – in every form of expression that is natural to them. This is our priority and guiding light at Pure Sunfarms, driving our uncompromising approach to quality and success within the Canadian recreational cannabis market. We believe our differences are our strengths, letting us look at cannabis in a whole new light.

The Data Analyst plays a key role in understanding, diagramming, documenting, and organizing business data for its ultimate relevant, insightful presentation to business.

Essential Functions
Work closely with the internal teams to understand and identify data needs
Interpret data, analyze results using statistical techniques and provide ongoing reports based on collected requirements
Document and diagram the applications and databases from a data analysis perspective
Continuously review and update the data architecture
Assist with auditing the data, its transformation, organization, and presentation
Maintain, troubleshoot, and improve existing data pipelines between business applications and tools
Use business intelligence tools to produce reports and assist with the design of dashboards
Utilize excellent communication skills to clearly distill the essence of your technical work to audiences of all levels and across multiple functional areas
Work with management to prioritize business and information needs
OTHER DUTIES
We work in a fast-paced environment, rolling up our sleeves to build something bigger than ourselves. Other duties may arise from time to time/most of the time and as a team, we look to support each other.
YOUR BRAND, YOUR STORY
Demonstrated and proven knowledge of data analysis, data modelling, business intelligence, and reporting
5+ years of experience in business intelligence, data analytics and data visualization tools, such as Sisense, Tableau, PowerBI to help transform and present business data
2+ years of experience writing in Python, Scala, or JavaScript
Strong SQL and querying skills
Strong cloud service experience in either: AWS, Azure, or GCP
Working knowledge of data mining principles: modelling, mapping, ETL, and middleware tools and techniques
Experience and knowledge of statistical modelling techniques: GLM multiple regression, logistic regression, log-linear regression, variable selection, etc.
Experience with data presentation via dashboards and BI tools, with relevant & insightful business information
Experience with analytic techniques to promote company growth, informed decision making, and other KPI to drive business
Experience with building data warehouse and data lake
Experience working for a vertically integrated business considered an asset
Machine learning and AI methodologies and concepts
Big data tools, such as Hadoop, Spark, Hive, and Cassandra
Data mining and data cleansing techniques
Data modelling and data architecture
Must have the ability to maintain and pass an RCMP criminal record check and obtain a security clearance.
At Pure Sunfarms, we are growing our team with the same care we devote to growing our plants. We’re proud of the diverse and inclusive culture that we’ve built and are excited to learn more about your experiences and how you can contribute to Pure Sunfarms and the cannabis industry.
"
Data Analyst - Data Products (15 Month Contract),Unbounce,,Contract,Mid-Senior level,Marketing & Advertising Computer Software Internet,Information Technology,"Join Unbounce and help the world experience better marketing. We’re a people first, customer obsessed company focused on helping employees do their best work. Our landing page and conversion platform empowers digital marketing teams and agencies to launch campaigns, increase conversions and get significantly better ROI on their marketing spend in a way that nobody else does today.

We’re looking for a Data Analyst to join our growing efforts to deliver actionable insights and deep analysis findings to our current and future customers. You’ll be part of the Data Products team, working with our Data Scientists, Machine Learning Developers and UX Designers to mine our datasets for insights, and work with teams such as Marketing and Engineering to deliver those insights to the market and our customers.

What you’ll be Doing:
Pro-actively mine and perform statistical analyses on our varied datasets to find actionable and valuable insights
Work with multiple teams to ideate and deliver market facing content, utilities and customer facing features
Act as the bridge and advocate between Data Products and the market facing teams
Work as an integral part of our ‘Data Analyst Chapter’ and Data Organization by contributing to the overall data ecosystem and improving data literacy throughout Unbounce
A Little Bit about You:
2 or more years experience as a technical Data Analyst with a proven track record of generating understandable and actionable insights from the data
Programming with Python and the associated data analysis packages (e.g. pandas, numpy, scipy)
Fluent and experienced with SQL
You are comfortable working independently and finding the place to make the most impact
You excel at translating data findings into insights for non-technical stakeholders
Agile development, version control, and code review processes
What’s in it for you:
A remote friendly office with flexible hours - for this role we will consider all applications from those based in Canada with the option to work from our Vancouver office
4 weeks vacation plus Christmas Holiday Closure - you're entitled to the week of Christmas off with pay through to and including Jan 1st
Vacation bonus - $1,000.00
12 Personal Wellness Days (This includes: Personal day, Moving day, Sick day, etc)
Health and Wellness budget - $500.00
Networking budget - $500.00
A paid day off for your birthday
One paid Volunteer day per year
One day every 2 weeks of dedicated professional development time
Unbounce Welcomes Everyone to Apply

At Unbounce we celebrate everyone and their multiple intersecting identities. We believe a panorama of experience allows us to make better decisions together and inspires innovation so that we can better serve our customers and community. Our goal is for every Unbouncer to feel deeply connected to their team through mutual value, respect, and understanding.

Please let us know if you require any accommodations or support during the recruitment process.

Powered by JazzHR

ifJjHKNIGx
"
