Title,Company,Location,Employment Type,Seniority Level,Industry,Job Functions,Description
Assistant Data Analyst,United Nations,"New York, United States",Full-time,Associate,Staffing & Recruiting Human Resources Government Administration,Information Technology,"Org. Setting and Reporting

This position is located in the Office of the Under-Secretary-General, Department of Operational Support (DOS) in the Performance and Analytics Section (PAS). PAS supports the development, implementation, monitoring and evaluation of frameworks for overall organizational performance of the Department. Data-driven analysis and insights are key in enabling this effort. The Assistant Data Analyst will report to a Programme Management Officer in the Section.

Responsibilities

Within delegated authority, the Assistant Data Analyst will be responsible for the following duties:
Support team members with data cleaning from primary or secondary sources and maintaining databases/data systems
Create simple data visualizations for internal or external use independently
Perform ongoing monitoring and refinement of reports
Provide technical support for existing reports, dashboards, or other tools
Identify and analyzes errors and inconsistencies in data and provides timely resolutions
Translate data results into written reports, or presentations to convey information to management
Competencies
Professionalism: Excellent analytical skills with the ability to collect, organize, manage, and disseminate significant amounts of information with attention to detail and accuracy. The ability to analyze, model and interpret data in support of decision-making and convey information succinctly to management. Adept at queries, report writing and presenting findings. Takes pride in the work for the organization and understands the impact that can be brought into the organization by allowing data-driven and evidence-based decisions. Ability to apply judgment in the context of assignments given, plan own work and manage conflicting priorities. Shows pride in work and in achievements; demonstrates professional competence and mastery of subject matter; is conscientious and efficient in meeting commitments, observing deadlines and achieving results; is motivated by professional rather than personal concerns; shows persistence when faced with difficult problems or challenges; remains calm in stressful situations. Takes responsibility for incorporating gender perspectives and ensuring the equal participation of women and men in all areas of work.
Planning & Organizing: Develops clear goals that are consistent with agreed strategies; identifies priority activities and assignments; adjusts priorities as required; allocates appropriate amount of time and resources for completing work; foresees risks and allows for contingencies when planning; monitors and adjusts plans and actions as necessary; uses time efficiently.
Technological Awareness: Keeps abreast of available technology; understands applicability and limitation of technology to the work of the office; actively seeks to apply technology to appropriate tasks; shows willingness to learn new technology.
Education

Advanced university degree (Master’s degree or equivalent degree) in computer science, data science, analytics, statistics, information management, public administration, management or a related field. A first-level university degree in combination with two additional years of qualifying experience may be accepted in lieu of the advanced university degree.

Work Experience

Applicants to positions at this level who have an advanced university degree in a relevant field of study are not required to have professional work experience. For applicants who have a first level university degree, two additional years of qualifying work experience is required.

A minimum of one year of experience in applied analytics, business intelligence, information management, statistics, project management, stakeholder management or related area is required.

Experience

in using data to advance decisions, strategies and execution is required.

Experience

with self-service analytics and data visualization applications (MS PowerBI, Qlik, Tableau or similar), or business intelligence tools (SAP Business Objects, etc.) is required.

Experience

in the use of data analysis or data modelling for informing decision making or action (e.g. development consultancy, management consultancy, investment advisory, technology services) is desirable.

Experience

with database or programming languages (SQL, Python, R) is desirable.

Languages

English and French are the working languages of the United Nations Secretariat. For the position advertised, fluency in English is required. Knowledge of French is desirable. Knowledge of another official United Nations language is an advantage.

Assessment

Evaluation of qualified candidates may include an assessment exercise which may be followed by a competency-based interview.

Special Notice
This position is temporarily available for 364 days.
If the selected candidate is a staff member from the United Nations Secretariat, the selection will be administered as a temporary assignment.
While this temporary assignment may provide the successful applicant with an opportunity to gain new work experience, the selection for this position is for a limited period and has no bearing on the future incumbency of the post.
Subject to the funding source of the position, the eligibility for this temporary job opening may be limited to candidates based at the duty station.
This temporary job opening may be limited to ""internal candidates,"" who have been recruited through a competitive examination administered according to staff rule 4.16 or staff selection process including the review of a central review body established according to staff rule 4.15.
Staff members of the United Nations common system organizations who will reach the mandatory age of separation or retirement within the duration of the current temporary need period are not eligible to apply. Submitting an application or selection for the current temporary job opening does not delay or increase the mandatory age of separation.
Retirees above the mandatory age of separation who wish to be considered for the current temporary job opening must indicate the reason for their last separation as ""retirement."" Such retirees shall not be employed by the Organization, unless (a) the operational requirements of the Organization cannot be met by staff members who are qualified and available to perform the required functions; and (b) the proposed employment would not adversely affect the career development or redeployment opportunities of other staff members and represents both a cost-effective and operationally sound solution to meet the needs of the service.
At the United Nations, the paramount consideration in the recruitment and employment of staff is the necessity of securing the highest standards of efficiency, competence and integrity, with due regard to geographic diversity. All employment decisions are made on the basis of qualifications and organizational needs. The United Nations is committed to creating a diverse and inclusive environment of mutual respect. The United Nations recruits and employs staff regardless of gender identity, sexual orientation, race, religious, cultural and ethnic backgrounds or disabilities. Reasonable accommodation for applicants with disabilities may be provided to support participation in the recruitment process when requested and indicated in the application.
United Nations Considerations

According to article 101, paragraph 3, of the Charter of the United Nations, the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency, competence, and integrity. Candidates will not be considered for employment with the United Nations if they have committed violations of international human rights law, violations of international humanitarian law, sexual exploitation, sexual abuse, or sexual harassment, or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts. The term “sexual exploitation” means any actual or attempted abuse of a position of vulnerability, differential power, or trust, for sexual purposes, including, but not limited to, profiting monetarily, socially or politically from the sexual exploitation of another. The term “sexual abuse” means the actual or threatened physical intrusion of a sexual nature, whether by force or under unequal or coercive conditions. The term “sexual harassment” means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation, when such conduct interferes with work, is made a condition of employment or creates an intimidating, hostile or offensive work environment, and when the gravity of the conduct warrants the termination of the perpetrator’s working relationship. Candidates who have committed crimes other than minor traffic offences may not be considered for employment.

Due regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible. The United Nations places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs. The United Nations Secretariat is a non-smoking environment.

The paramount consideration in the appointment, transfer, or promotion of staff shall be the necessity of securing the highest standards of efficiency, competence, and integrity. By accepting an offer of appointment, United Nations staff members are subject to the authority of the Secretary-General and assignment by him or her to any activities or offices of the United Nations in accordance with staff regulation 1.2 (c). In this context, all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the Secretary-General.

Applicants are urged to follow carefully all instructions available in the online recruitment platform, inspira. For more detailed guidance, applicants may refer to the Manual for the Applicant, which can be accessed by clicking on “Manuals” hyper-link on the upper right side of the inspira account-holder homepage.

The evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the United Nations including the Charter of the United Nations, resolutions of the General Assembly, the Staff Regulations and Rules, administrative issuances and guidelines. Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening. No amendment, addition, deletion, revision or modification shall be made to applications that have been submitted. Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the application.

Job openings advertised on the Careers Portal will be removed at 11:59 p.m. (New York time) on the deadline date.

No Fee

THE UNITED NATIONS DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING). THE UNITED NATIONS DOES NOT CONCERN ITSELF WITH INFORMATION ON APPLICANTS’ BANK ACCOUNTS.
"
Data Analyst,Applied Resource Group,"Atlanta, GA",,,,,"Applied Resource group is current looking for a Data Analyst for one of our Client who specializes in strategic marketing.

This role is currently has a Hybrid schedule. Atlanta and surrounding metropolitan areas are strongly preferred for this position .

Job Description: 
Support development of ETL processes, database design, implementation, and ongoing maintenance
Collaborate with clients and partner agencies to access and integrate data sets
Develop and implement anomaly detection
Identify opportunities for incremental automation and relieve bottlenecks in existing architecture
Analyze, track and report market and competitive intelligence findings from various sources.
Analyze engineering performance data on over 500+ markets to provide insight on key metrics used in advertising claims.
Support development of client-ready visualizations
Develop database views to support fast and responsive visualizations
Build and maintain client dashboards
Deliver ad-hoc client requests and contribute to new business pitches
Support the creative use of data and technology.
 Minimum Qualifications:
Advanced SQL, Excel, and Python
Experience with SAS preferred
Proficientcy with Tableau preferred
Impeccable attention to detail, a fiercely analytical mindset, and an aptitude for creative problem solving
Proven record of being a strong team player and comfort working in a fast-paced environment 
Excellent organizational, verbal and written communication skills
 Additional Consideration: 
Experience loading data to Snowflake and modeling it using dbt
Proficiency with Tableau or another BI solution
Familiarity with GIT based versioning
A “builder” mindset.
Experience integrating with APIs and web scraping
Working knowledge of cloud based data solutions such as AWS and Azure"
Data Analyst,"Circle Logistics, Inc",,,,,,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.

Responsibilities
Understand the day-to-day issues that our business faces, which can be better understood with data
Compile and analyze data related to business' issues
Develop clear visualizations to convey complicated data in a straightforward fashion

Skills & Qualifications
Analytical and problem solving skills
High Proficiency with analytical tools (Excel, Power Query, Pivot etc )
Reporting and data visualization skills using software like Tableau a plus
Ability to set and meet strict deadlines
Excellent attention to detail a must
Ability to work with numerous stakeholders across the country
Bachelors degree required (Mathematics, statistics, economics a plus)
1 - 2 years' Data Analysis experience"
Jr. Data Analyst,Wpromote,,,,,,"The Role

We are looking for a Junior Data Analyst with excellent math and logic skills, strong attention to detail, and the desire to learn new tools and strategies. This individual will focus on data cleaning, wrangling, and classification tasks to maintain consistent taxonomies, labeling, and data management practices. This individual will also have the opportunity to learn about data mining, data cleansing, data analysis, and visualization. The primary function will be to create and maintain existing analytic solutions while gaining guided experience in the advanced reporting functions to enable increased responsibility over time. It is also important that this person feel comfortable in a fast-paced team environment.

You Will Be
Working with media teams to ensure data integrity across all lines of business.
Building internal reports that help media teams make informed decisions.
Making platform and CRM data more accessible, understandable, and usable.
Learning to transform, improve and integrate data, depending on the business requirements.
Planning and scoping end-to-end data validation projects by identifying the business problem, and selecting appropriate investigative testing and solutions.
Collaborating with other analysts to complete technical tasks Using SQL and BigQuery to combine data sets across multiple sources.
Delivering the data in a useful and appealing way to technical and non-technical audiences using LookerClearly documenting and cataloging new processes and workflows for reproducibility.
Querying, cleaning, formatting, and structuring data for analysis using technical tools such as Excel, Google Sheets, and/or programmatically.
Interpreting, presenting and communicating results by creating presentations and/or dashboards that communicate a succinct and compelling business story, driving decisions through research results (to technical and non-technical audiences).
Learning how to automate data gathering, blending, and transformation of data.
Working across various departments to understand client needs

You Must Have
0-1 year of hands-on data analysis experience within an agency or in-house environment.
Experience and comfort with at least one programing language for data analysis (i.e.: Python or R).
Intermediate experience in SQL for data wrangling, cleaning, and formatting.
Familiarity with at least one BI platform and the ability to learn others (i.e.: Looker, Tableau, MicroStrategy, Power BI, Datorama, etc.).
Advanced knowledge of spreadsheet programs (ie: Excel, Google Sheets, etc.).
Excellent analytical and problem-solving skills with attention to detail.
Ability to work with large amounts of information and see the bigger picture.
Excellent math/statistical skills with the ability to juggle facts, figures, and number crunching.
An interest in learning new analytic methodologies and technical toolsHigh attention to detail.
Strong communication skills, both written and oral, and the ability to tell a “data story”.
Critical thinking

Nice To Have
Familiarity with command-line scripting.
Experience with version control (ie: Git).
Working knowledge with Analytics software such as Google Analytics and Adobe Analytics.
Experience with Media Advertising Platforms such as Google Ads, Bing Ads, Yahoo Gemini.
Experience with digital marketing tools such as Doubleclick, Facebook Ads, The Trade Desk, Google Ads, etc.
Experience with statistical modeling and/or machine learning a plus.
An interest or passion for marketing/web analytics"
Analyst-Data Science,American Express,"New York, United States",,,,,"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way. When you join #TeamAmex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day.

The Colleague Services and Digital Capabilities (CSDC) organization at American Express plays a critical role in in providing the best in class services, capabilities, data and insights that enable a great colleague experience. The organization builds and evolves essential foundational and operational products and services to enable Colleague Experience Group (CEG) and the business. The CSDC organization manages the ecosystem of CEG platforms, applications, third party partners, colleague insights and reporting, and colleague-related risk, compliance and governance.

We are seeking a colleague with strong quantitative and statistics training, a passion for data-backed decisions. This role will require the successful candidate to tackle intellectual challenges and innovate to establish the future of Colleague Insights Data Science team primarily focusing on employee retention, collaboration, inclusion & diversity metrics, and key talent.

What You’ll Do In This Role
Develop predictive modeling that will enable colleague retention and growing diverse representation.
Define and validate that appropriate data is being captured, including investigating data anomalies
Gather, manipulate, and explore large datasets to test hypotheses, extract useful insights and create forecasts
Apply your deep expertise in analytics
Identify opportunities to automate repetitive analyses, including leveraging AI and machine learning algorithms.
Collaborate with CEG partners, Technology, and peer analytics team members to get things done, influence priorities and develop knowledge


How You'll Stand Out
Work experience using analytics to solve business problems in complex organizations
People Analytics experience /HR data
2+ years of programming experience in Python, R, SQL, Hive
2+ years of experience in Tableau, Power BI
Proven experience communicating results to technical and non-technical audiences


Minimum Qualifications
BS or Masters in Statistics, Economics, Mathematics, Engineering or related analytical field.
1-2 years of experience using quantitative analysis and statistical modeling
Understanding of statistical and experimentation concepts such as distributions, regression, confidence, correlation, significance, P-value, T-tests, etc.
Programming experience in Python, R
Experience with Tableau or other visualization tools such as Power BI
Experience with SQL or other query language required
Ability to learn quickly and work within tight deadlines
Flexibility and adaptability to work within tight deadlines and changing priorities.
Excellent English written and verbal communication skills


Additional Details
Location: Phoenix, AZ or New York, NY
Visa Sponsorship: Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.


American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, age, or any other status protected by law."
"Data Analyst, People Analytics",Facebook,"New York, NY",,,,,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

The Data Analyst, People Analytics at Facebook strives to deliver useful and accurate reporting data and analytical insights to create People-related strategies and narratives across the business. This role will work closely with Analytics Business Partners and various cross-functional partners across D&I, Attrition, Employee Lifecycle, and Data/Engineering stakeholders to effectively organize and distill data, ask appropriate questions to understand hypotheses and requests, and visualize and present data in compelling charts and presentations that go to an executive audience. The prospective candidate will be curious and inquisitive, have strong critical thinking and analytical skills, will thrive managing concurrent projects while working with a global team to drive outcomes and will enjoy informing and influencing stakeholders with data and insights.

Responsibilities
Respond to data and dashboarding requests related to people data with minimal guidance in partnership with Analytics Business Partners.
Handle ad hoc reporting and analytics requests, while addressing Stakeholder long-term needs and driving insights for HR Partners and Executives using existing dashboard, HRIS data, and leveraging our people data ecosystem.
Intake on business needs and apply contextual knowledge in order to scope data requests, synthesize insights, and recommend solutions to key business partners in collaboration with others.
Effectively communicate with cross-functional partners and internal teams to deliver solutions in a timely fashion.
Proactively manage stakeholder expectations, manage escalations and resolve issues in a timely manner.
Minimum Qualification
BA/BS in a field that emphasizes data analysis and visualization (e.g., computer science, social sciences, physical sciences, math, engineering, or statistics), or equivalent work experience
3+ years of experience working with data visualization tools
Experience with data management, specifically with validating and auditing data and reports from multiple systems
Experience manipulating large data sets through statistical software or other methods
Experience initiating and driving projects to completion with minimal guidance
Experience having effective conversations with clients about their support needs and requirements, managing the intake process, and asking the right questions to scope and solve the requests
Experience with SQL for querying relational databases
Demonstrated experience with judgment and discretion when dealing with highly sensitive people data and business issues
Preferred Qualification
Comfortable working in a fast-paced and demanding environment
Experience with R or Python
Experience working with HR/organizational people data preferred (e.g., headcount, turnover, recruiting metrics, and other people analytics)
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
Data Analyst,IntellaPro,"Miramar, FL",,,,,"Job Duties and Responsibilities:
Gather business requirements for data usage from employees and customers
Build queries and reports to generate data
Assess data issues and fix reporting problems
Modify existing reports to provide additional information
Monitor performance of database systems and resources
Diagnose and troubleshoot database errors
Ensure the security of company data
Assist with maintaining the integrity and performance of company databases
Assist with other database needs as required
Perform back-ups and restores
Update operations and user documentation, as needed
 Education and Experience Requirements:
2+ years of experience working with databases and reporting technologies
Bachelor’s degree or equivalent experience
 Qualifications and Skills:
  Must Haves:
Able to correlate heterogeneous information/data into meaningful facts for reporting
Understands relational and dimensional data modeling
Working knowledge of:
MS Excel
SSRS
SQL
Power BI ( willing to train ) 
Crystal Reports (Including report creation and modification, as well as server maintenance and user permissions)
Able to analyze, organize and prioritize work under pressure while meeting deadlines
Able to process and handle confidential information with discretion
Strong customer service skills
Excellent written and verbal communication skills
Strong attention to detail
  Pluses: 
D365, SQL Server, Microsoft Azure knowledge and certifications
Knowledge of Oracle operations and functions
Perform Backup and Restoration operations
Optimize database structures and queries to enhance performance
Install and configure Oracle Software as required
Perform routine Oracle SQL functions:
Update Records
Create users
Manage User privileges
  "
Data Analyst - Brisbane,Snackpass,"Brisbane, CA",,,,,"We are looking to hire a Data Analyst to empower Snackpass teams through analytics. You will work within Snackpass’s Data Team to build end-to-end analytics and drive insights for key stakeholders across the Snackpass business.

On a typical day you might...
Write backend LookML code and SQL to build out our analytics
Conduct deep dive analyses using Python or R to unlock insights for key stakeholders across the Snackpass business
Build both internal and external facing dashboards and alerting systems to empower teams at Snackpass and our thousands of restaurant partners
Minimum Qualifications
Strong proficiency in SQL, you should expect to write complex queries often, experience working with NoSQL data in a SQL context is a plus
Experience with Python or R, experience doing data analyses to answer questions like “what is the most important feature of a successful Snackpass restaurant?”
Excited to work closely with non-technical stakeholders to build data-driven solutions to their most pressing problems
Preferred Qualifications
2+ years experience working as a data analyst or in a similar role
BA/BS in a quantitative or social science
with analytics tools such as Looker or Tableau
Experience with basic statistical techniques such as linear regression
Experience with MongoDB, BiqQuery, and/or Segment
Benefits Include: -Health, dental & vision insurance-Unlimited paid time off-12 paid holidays Diversity & Inclusion: Snackpass is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. In fact, we are confident that the most inclusive and diverse teams accomplish the most extraordinary results."
Fraud Data Analyst (Remote Eligible),ID.me,,,,,,"Overview

At ID.me we simplify the identity verification experience for users. Once a user has verified their identity with ID.me, they never have to re-verify again anywhere that ID.me is integrated.

ID.me’s next-generation identity platform meets the highest federal standards for online identity proofing and authentication, without compromising access for hard-to-identify groups. ID.me’s technology is used by more than 40 million individuals and 400 partners, including federal and state agencies, healthcare organizations, financial institutions, retailers, and nonprofits.

We are looking for a Data Analyst to join our growing team. In this role, you will work with leadership from the Fraud and Analytics teams to implement and maintain metrics that track and monitor suspicious user activity. You will analyze security incidents, identify trends and draw insights from our database.

The ideal candidate must be able to work independently and have the ability to prioritize issues, work within ambiguity, and manage tight deadlines. The candidate should also be creative, data-driven, and aggressive in delivering results.

Responsibilities
Dive deep into production data to produce, maintain, and curate metrics and reports for the Fraud team in order to identify and monitor suspicious user activity
Provide ad-hoc analysis to dive into reported suspicious activity and surface new fraud trends
Provide cross-team insights across the Product, Engineering, Member Support, and Security teams to influence and inform decisions relating to fraudulent activity
Be a data evangelist; collaborate with both technical and non-technical teammates to supplement decisions with quantitative evidence
Always be auditing: build and maintain processes to track data and troubleshoot errors


Qualifications
3+ years of data analysis experience
BA/BS in Statistics, Mathematics, Engineering, Computer Science, or similar quantitative discipline
Exceptional fluency with coding languages such as SQL
Expertise in Python, R, and/or Spark is preferred
High level of comfort creating reports and dashboards in Tableau or other BI tools
Coding literacy; you’ve been exposed to procedural or functional programming; familiarity with object-relational mapping or model-view-controller frameworks is a plus
Experience with big data tools and machine learning is a plus
Data-driven, detail-oriented individual with excellent storytelling and problem-solving abilities
Excellent verbal and written communication skills; you have the ability to technical data in a digestible format to stakeholders of all technical literacy levels
Ability to work independently and autonomously, as well as part of a team
Superb time management, prioritization of tasks and ability to meet deadlines with little supervision


Vision: To be the world's leading digital identity network empowering people to control their own information and to prove their credentials across all channels: online, call center, and in-person.

Mission: To make the world a more trusted place by delivering the highest level of security with the least amount of friction at the lowest possible cost.

People: We have an audacious mission. We aim to fix the identity layer of the internet. Billions of people will live better lives with more trust and convenience thanks to ID.me. We are like Special Forces. We take on the most difficult challenges with amazing teammates.

ID.me Core Values: *Don't be a jerk. *Always compete. *Ask questions like a 5-year old. *Inspire people with your passion. *Make something better every day. *Treat each customer like your favorite family member. *Own your mistakes so you can learn from them. *Details are everything. *Communicate like a scientist. *Be truthful (even when it's hard). *Reflect ID.me's values in your actions. *Act like an owner.

ID.me Career Site & Culture Deck: https://www.id.me/careers

ID.me maintains a work environment free from discrimination, where employees are treated with dignity and respect. All ID.me employees share in the responsibility for fulfilling our commitment to equal employment opportunity. ID.me does not discriminate against any employee or applicant on the basis of age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. ID.me adheres to these principles in all aspects of employment, including recruitment, hiring, training, compensation, promotion, benefits, social and recreational programs, and discipline. In addition, ID.me's policy is to provide reasonable accommodation to qualified employees who have protected disabilities to the extent required by applicable laws, regulations and ordinances where a particular employee works. Upon request we will provide you with more information about such accommodations.

Please review our Privacy Policy, including our CCPA policy, at id.me/privacy. If you provide ID.me with any personally identifiable information you confirm that you have read and agree to be bound by the terms and conditions set out in our Privacy Policy.

ID.me participates in E-Verify."
Data Analyst,OKEx,"San Francisco, CA",,,,,"Who we are: 
OKEx is on a mission to make crypto investing and trading more accessible to anyone around the world. We are building the next generation of tools to help onboard the investors and traders who have been on the fence about crypto. We are a collective of engineers, product managers, and marketers with a common passion to help decentralize finance and level the economic playing field for everyone around the world.

What we’re looking for: We’re seeking a talented and passionate Data Analyst to join our growth team. Candidates should be experienced, but willing to collaborate, adapt and learn. Data analysis skills as well as ingenuity and creativity are vital as we’re driving improvements to our products, user experiences and engagement.

What you’ll do:
Perform deep dive analysis to understand and optimize the key levers of our growth ecosystems
Analyze return on investment of promotions
Model customer lifetime value for different customer segments
Design core metrics that serve as the North Stars for team efforts and model tradeoffs across product areas
Apply statistics and modeling to improve the efficiency of systems across Growth Initiatives
Work with product managers and engineers to design data products and debug A/B experiments
Create growth dashboards for the team to enable faster reaction time on course corrections
You will interact with BI tools like metabase, google analytics, amplitude, appsflyer and will conduct SQL queries on our own database

What we’re looking for:
At least 4 years of industry experience with proven ability to apply scientific methods to solve real-world problems on web scale data
Proficient in SQL/Hive
Proven track record in providing suggestions and solutions through data analysis
Ability to lead initiatives across multiple product areas and communicate findings with leadership and product teams

What makes you stand out from the rest:
Bilingual in Mandarin/English
Crypto experience or a willingness to learn"
